MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats,k-means
0.05,0.02,0.03,2,12,1,100,0.0
0.05,0.02,0.14,2,12,10,100,0.0
0.06,0.06,0.36,2,12,20,100,0.13
0.07,0.09,0.54,2,12,30,100,0.3
0.09,0.11,0.78,2,12,40,100,0.51
0.09,0.08,0.93,2,12,50,100,0.81
0.11,0.14,0.97,2,12,60,100,0.91
0.12,0.15,0.99,2,12,70,100,0.99
0.12,0.18,0.99,2,12,80,100,0.98
0.12,0.2,1.0,2,12,90,100,1.0
0.12,0.26,1.0,2,12,100,100,1.0
0.06,0.1,0.08,2,24,1,100,0.0
0.11,0.25,0.24,2,24,10,100,0.0
0.15,0.49,0.49,2,24,20,100,0.0
0.22,0.67,0.79,2,24,30,100,0.01
0.27,0.8,0.87,2,24,40,100,0.12
0.34,0.93,0.97,2,24,50,100,0.29
0.35,0.92,0.99,2,24,60,100,0.57
0.36,0.92,1.0,2,24,70,100,0.71
0.36,0.96,1.0,2,24,80,100,0.9
0.36,0.99,1.0,2,24,90,100,0.94
0.36,0.99,1.0,2,24,100,100,0.96
0.01,0.06,0.03,2,36,1,100,0.0
0.04,0.35,0.21,2,36,10,100,0.0
0.05,0.61,0.63,2,36,20,100,0.0
0.05,0.89,0.8,2,36,30,100,0.02
0.05,0.99,0.96,2,36,40,100,0.13
0.05,0.99,0.99,2,36,50,100,0.34
0.05,0.99,1.0,2,36,60,100,0.48
0.05,0.99,0.99,2,36,70,100,0.57
0.06,1.0,1.0,2,36,80,100,0.73
0.06,1.0,1.0,2,36,90,100,0.87
0.06,1.0,1.0,2,36,100,100,0.89
0.09,0.05,0.05,3,12,1,100,0.0
0.18,0.06,0.36,3,12,10,100,0.02
0.25,0.13,0.72,3,12,20,100,0.18
0.31,0.25,0.95,3,12,30,100,0.39
0.42,0.22,0.99,3,12,40,100,0.63
0.49,0.4,1.0,3,12,50,100,0.89
0.49,0.33,1.0,3,12,60,100,0.93
0.51,0.51,1.0,3,12,70,100,0.99
0.51,0.52,1.0,3,12,80,100,0.99
0.52,0.65,1.0,3,12,90,100,1.0
0.52,0.69,1.0,3,12,100,100,1.0
0.08,0.11,0.02,3,24,1,100,0.0
0.09,0.15,0.13,3,24,10,100,0.0
0.13,0.37,0.54,3,24,20,100,0.0
0.19,0.68,0.93,3,24,30,100,0.0
0.24,0.7,0.97,3,24,40,100,0.03
0.26,0.81,1.0,3,24,50,100,0.15
0.31,0.89,1.0,3,24,60,100,0.34
0.34,0.88,1.0,3,24,70,100,0.47
0.36,0.95,1.0,3,24,80,100,0.68
0.37,0.96,1.0,3,24,90,100,0.79
0.37,1.0,1.0,3,24,100,100,0.94
0.03,0.06,0.0,3,36,1,100,0.0
0.05,0.25,0.11,3,36,10,100,0.0
0.11,0.55,0.53,3,36,20,100,0.01
0.16,0.79,0.86,3,36,30,100,0.02
0.18,0.91,0.97,3,36,40,100,0.12
0.21,0.98,0.99,3,36,50,100,0.25
0.21,1.0,0.99,3,36,60,100,0.52
0.22,1.0,1.0,3,36,70,100,0.69
0.22,1.0,1.0,3,36,80,100,0.77
0.22,1.0,1.0,3,36,90,100,0.88
0.22,1.0,1.0,3,36,100,100,0.91
0.04,0.11,0.03,4,12,1,100,0.0
0.06,0.18,0.35,4,12,10,100,0.01
0.2,0.3,0.85,4,12,20,100,0.03
0.25,0.37,1.0,4,12,30,100,0.1
0.3,0.37,1.0,4,12,40,100,0.28
0.33,0.4,1.0,4,12,50,100,0.47
0.37,0.44,1.0,4,12,60,100,0.7
0.41,0.54,1.0,4,12,70,100,0.93
0.41,0.54,1.0,4,12,80,100,0.99
0.41,0.56,1.0,4,12,90,100,1.0
0.42,0.63,1.0,4,12,100,100,1.0
0.03,0.1,0.03,4,24,1,100,0.0
0.1,0.09,0.28,4,24,10,100,0.0
0.31,0.35,0.81,4,24,20,100,0.0
0.46,0.63,0.99,4,24,30,100,0.08
0.56,0.5,1.0,4,24,40,100,0.3
0.67,0.5,1.0,4,24,50,100,0.71
0.7,0.58,1.0,4,24,60,100,0.88
0.77,0.74,1.0,4,24,70,100,1.0
0.76,0.82,1.0,4,24,80,100,1.0
0.78,0.99,1.0,4,24,90,100,1.0
0.78,0.97,1.0,4,24,100,100,1.0
0.06,0.01,0.0,4,36,1,100,0.0
0.16,0.29,0.22,4,36,10,100,0.0
0.3,0.77,0.94,4,36,20,100,0.0
0.41,0.98,1.0,4,36,30,100,0.08
0.54,1.0,1.0,4,36,40,100,0.13
0.57,1.0,1.0,4,36,50,100,0.44
0.59,1.0,1.0,4,36,60,100,0.66
0.59,1.0,1.0,4,36,70,100,0.82
0.6,1.0,1.0,4,36,80,100,0.98
0.6,1.0,1.0,4,36,90,100,1.0
0.6,1.0,1.0,4,36,100,100,1.0
0.05,0.02,0.08,2,12,1,200,0.0
0.06,0.06,0.17,2,12,10,200,0.01
0.07,0.14,0.59,2,12,20,200,0.1
0.08,0.03,0.86,2,12,30,200,0.41
0.08,0.06,0.98,2,12,40,200,0.73
0.09,0.1,1.0,2,12,50,200,0.92
0.09,0.05,1.0,2,12,60,200,0.97
0.09,0.1,1.0,2,12,70,200,1.0
0.09,0.11,1.0,2,12,80,200,1.0
0.09,0.11,1.0,2,12,90,200,1.0
0.09,0.11,1.0,2,12,100,200,1.0
0.05,0.04,0.08,2,24,1,200,0.0
0.07,0.12,0.28,2,24,10,200,0.02
0.1,0.19,0.72,2,24,20,200,0.08
0.11,0.3,0.98,2,24,30,200,0.4
0.11,0.52,1.0,2,24,40,200,0.75
0.11,0.65,1.0,2,24,50,200,0.87
0.11,0.78,1.0,2,24,60,200,0.96
0.11,0.85,1.0,2,24,70,200,0.99
0.11,0.97,1.0,2,24,80,200,1.0
0.11,0.98,1.0,2,24,90,200,1.0
0.11,0.99,1.0,2,24,100,200,1.0
0.08,0.03,0.06,2,36,1,200,0.0
0.13,0.14,0.36,2,36,10,200,0.0
0.18,0.43,0.73,2,36,20,200,0.01
0.19,0.58,0.9,2,36,30,200,0.03
0.19,0.71,0.98,2,36,40,200,0.27
0.19,0.74,1.0,2,36,50,200,0.48
0.19,0.77,1.0,2,36,60,200,0.68
0.19,0.9,1.0,2,36,70,200,0.85
0.19,0.88,1.0,2,36,80,200,0.93
0.19,0.83,1.0,2,36,90,200,0.96
0.19,0.76,1.0,2,36,100,200,0.99
0.02,0.06,0.01,3,12,1,200,0.0
0.09,0.15,0.45,3,12,10,200,0.0
0.17,0.35,0.95,3,12,20,200,0.25
0.23,0.42,0.99,3,12,30,200,0.51
0.26,0.46,1.0,3,12,40,200,0.85
0.29,0.57,1.0,3,12,50,200,0.95
0.29,0.62,1.0,3,12,60,200,0.99
0.29,0.72,1.0,3,12,70,200,1.0
0.29,0.76,1.0,3,12,80,200,1.0
0.29,0.84,1.0,3,12,90,200,1.0
0.29,0.89,1.0,3,12,100,200,1.0
0.09,0.04,0.02,3,24,1,200,0.0
0.17,0.08,0.36,3,24,10,200,0.0
0.34,0.2,0.91,3,24,20,200,0.0
0.41,0.1,1.0,3,24,30,200,0.03
0.54,0.13,1.0,3,24,40,200,0.18
0.55,0.3,1.0,3,24,50,200,0.51
