k-means,MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats
0.0,0.0,0.01,0.02,2,12,1,100
0.0,0.0,0.01,0.02,2,12,2,100
0.0,0.0,0.01,0.03,2,12,4,100
0.0,0.0,0.01,0.04,2,12,8,100
0.0,0.01,0.01,0.09,2,12,16,100
0.0,0.01,0.01,0.12,2,12,32,100
0.0,0.04,0.01,0.25,2,12,64,100
0.0,0.01,0.0,0.07,2,24,1,100
0.0,0.01,0.0,0.08,2,24,2,100
0.0,0.01,0.0,0.08,2,24,4,100
0.0,0.02,0.0,0.08,2,24,8,100
0.0,0.01,0.0,0.13,2,24,16,100
0.0,0.01,0.0,0.18,2,24,32,100
0.0,0.02,0.0,0.32,2,24,64,100
0.0,0.03,0.0,0.05,2,36,1,100
0.0,0.03,0.0,0.05,2,36,2,100
0.0,0.04,0.0,0.06,2,36,4,100
0.0,0.05,0.0,0.08,2,36,8,100
0.0,0.05,0.0,0.12,2,36,16,100
0.0,0.07,0.0,0.23,2,36,32,100
0.0,0.09,0.0,0.35,2,36,64,100
0.0,0.01,0.05,0.02,3,12,1,100
0.0,0.01,0.05,0.03,3,12,2,100
0.0,0.01,0.05,0.04,3,12,4,100
0.0,0.01,0.06,0.06,3,12,8,100
0.0,0.01,0.07,0.11,3,12,16,100
0.0,0.01,0.06,0.19,3,12,32,100
0.0,0.06,0.07,0.44,3,12,64,100
0.0,0.01,0.01,0.01,3,24,1,100
0.0,0.01,0.01,0.02,3,24,2,100
0.0,0.01,0.01,0.04,3,24,4,100
0.0,0.01,0.01,0.04,3,24,8,100
0.0,0.01,0.03,0.07,3,24,16,100
0.0,0.05,0.04,0.18,3,24,32,100
0.0,0.04,0.08,0.38,3,24,64,100
0.0,0.05,0.01,0.0,3,36,1,100
0.0,0.04,0.01,0.01,3,36,2,100
0.0,0.04,0.01,0.01,3,36,4,100
0.0,0.06,0.01,0.03,3,36,8,100
0.0,0.04,0.01,0.05,3,36,16,100
0.0,0.02,0.01,0.14,3,36,32,100
0.0,0.06,0.01,0.29,3,36,64,100
0.0,0.01,0.06,0.01,4,12,1,100
0.0,0.0,0.06,0.01,4,12,2,100
0.0,0.0,0.06,0.01,4,12,4,100
0.0,0.01,0.06,0.02,4,12,8,100
0.0,0.02,0.06,0.11,4,12,16,100
0.0,0.02,0.07,0.19,4,12,32,100
0.0,0.09,0.09,0.51,4,12,64,100
0.0,0.04,0.01,0.01,4,24,1,100
0.0,0.04,0.01,0.02,4,24,2,100
0.0,0.04,0.01,0.05,4,24,4,100
0.0,0.03,0.01,0.07,4,24,8,100
0.0,0.03,0.01,0.2,4,24,16,100
0.0,0.07,0.02,0.37,4,24,32,100
0.0,0.13,0.02,0.54,4,24,64,100
