MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats
0.05,0.02,0.04,2,12,1,100
0.05,0.02,0.05,2,12,2,100
0.05,0.02,0.08,2,12,4,100
0.05,0.06,0.09,2,12,8,100
0.05,0.01,0.25,2,12,16,100
0.07,0.13,0.34,2,12,32,100
0.11,0.14,0.41,2,12,64,100
0.06,0.1,0.05,2,24,1,100
0.06,0.09,0.08,2,24,2,100
0.08,0.13,0.13,2,24,4,100
0.1,0.22,0.21,2,24,8,100
0.14,0.38,0.32,2,24,16,100
0.23,0.68,0.57,2,24,32,100
0.36,0.92,0.64,2,24,64,100
0.01,0.06,0.03,2,36,1,100
0.01,0.11,0.04,2,36,2,100
0.01,0.19,0.05,2,36,4,100
0.04,0.29,0.13,2,36,8,100
0.04,0.51,0.35,2,36,16,100
0.05,0.94,0.68,2,36,32,100
0.05,0.99,0.66,2,36,64,100
0.09,0.05,0.05,3,12,1,100
0.12,0.04,0.06,3,12,2,100
0.14,0.05,0.12,3,12,4,100
0.21,0.1,0.27,3,12,8,100
0.23,0.15,0.54,3,12,16,100
0.37,0.23,0.7,3,12,32,100
0.5,0.42,0.79,3,12,64,100
0.08,0.11,0.03,3,24,1,100
0.08,0.11,0.03,3,24,2,100
0.08,0.1,0.03,3,24,4,100
0.09,0.14,0.06,3,24,8,100
0.12,0.25,0.28,3,24,16,100
0.2,0.68,0.67,3,24,32,100
0.31,0.92,0.63,3,24,64,100
0.03,0.06,0.0,3,36,1,100
0.04,0.06,0.0,3,36,2,100
0.05,0.1,0.0,3,36,4,100
0.05,0.24,0.07,3,36,8,100
0.07,0.42,0.2,3,36,16,100
0.15,0.84,0.53,3,36,32,100
0.22,1.0,0.67,3,36,64,100
0.04,0.11,0.03,4,12,1,100
0.04,0.15,0.02,4,12,2,100
0.05,0.08,0.08,4,12,4,100
0.05,0.13,0.18,4,12,8,100
0.14,0.18,0.6,4,12,16,100
0.28,0.35,0.94,4,12,32,100
0.37,0.46,0.86,4,12,64,100
0.03,0.1,0.03,4,24,1,100
0.04,0.08,0.05,4,24,2,100
0.07,0.08,0.06,4,24,4,100
0.08,0.07,0.13,4,24,8,100
0.25,0.22,0.47,4,24,16,100
0.47,0.62,0.81,4,24,32,100
0.71,0.63,0.89,4,24,64,100
0.06,0.01,0.0,4,36,1,100
0.04,0.0,0.0,4,36,2,100
0.07,0.07,0.04,4,36,4,100
0.11,0.26,0.13,4,36,8,100
0.24,0.69,0.6,4,36,16,100
0.45,0.98,0.9,4,36,32,100
0.59,1.0,0.92,4,36,64,100
0.05,0.02,0.07,2,12,1,200
0.06,0.02,0.09,2,12,2,200
0.06,0.03,0.09,2,12,4,200
0.06,0.06,0.14,2,12,8,200
0.07,0.1,0.31,2,12,16,200
0.08,0.02,0.69,2,12,32,200
0.09,0.08,0.75,2,12,64,200
0.05,0.04,0.07,2,24,1,200
0.05,0.05,0.07,2,24,2,200
0.07,0.05,0.12,2,24,4,200
0.07,0.09,0.24,2,24,8,200
0.09,0.15,0.45,2,24,16,200
0.11,0.32,0.79,2,24,32,200
0.11,0.79,0.88,2,24,64,200
0.08,0.03,0.06,2,36,1,200
0.08,0.02,0.07,2,36,2,200
0.08,0.03,0.11,2,36,4,200
0.1,0.08,0.24,2,36,8,200
0.17,0.31,0.51,2,36,16,200
0.19,0.63,0.7,2,36,32,200
0.19,0.87,0.77,2,36,64,200
0.02,0.06,0.01,3,12,1,200
0.02,0.06,0.01,3,12,2,200
0.03,0.09,0.07,3,12,4,200
0.06,0.15,0.33,3,12,8,200
0.12,0.22,0.74,3,12,16,200
0.23,0.43,0.98,3,12,32,200
0.29,0.67,0.99,3,12,64,200
0.09,0.04,0.01,3,24,1,200
0.12,0.06,0.04,3,24,2,200
0.13,0.08,0.11,3,24,4,200
0.16,0.1,0.25,3,24,8,200
0.26,0.19,0.67,3,24,16,200
0.43,0.13,0.95,3,24,32,200
0.55,0.34,0.98,3,24,64,200
0.06,0.08,0.02,3,36,1,200
0.07,0.09,0.02,3,36,2,200
0.09,0.09,0.03,3,36,4,200
0.12,0.24,0.16,3,36,8,200
0.23,0.46,0.52,3,36,16,200
0.37,0.82,0.91,3,36,32,200
0.41,1.0,0.98,3,36,64,200
0.04,0.05,0.03,4,12,1,200
0.04,0.02,0.04,4,12,2,200
0.06,0.03,0.1,4,12,4,200
0.08,0.04,0.36,4,12,8,200
0.18,0.06,0.85,4,12,16,200
0.42,0.22,1.0,4,12,32,200
0.59,0.56,1.0,4,12,64,200
0.03,0.09,0.01,4,24,1,200
0.04,0.09,0.05,4,24,2,200
0.04,0.1,0.16,4,24,4,200
0.08,0.09,0.37,4,24,8,200
0.18,0.26,0.86,4,24,16,200
0.36,0.27,1.0,4,24,32,200
0.4,0.37,1.0,4,24,64,200
0.02,0.04,0.0,4,36,1,200
0.02,0.04,0.03,4,36,2,200
0.02,0.1,0.06,4,36,4,200
0.03,0.16,0.38,4,36,8,200
0.12,0.57,0.82,4,36,16,200
0.19,0.9,0.99,4,36,32,200
0.26,1.0,1.0,4,36,64,200
0.12,0.09,0.08,2,12,1,500
0.12,0.08,0.08,2,12,2,500
0.13,0.09,0.22,2,12,4,500
0.17,0.13,0.37,2,12,8,500
0.28,0.11,0.73,2,12,16,500
0.36,0.24,0.99,2,12,32,500
0.37,0.31,0.99,2,12,64,500
0.02,0.06,0.09,2,24,1,500
0.03,0.08,0.12,2,24,2,500
0.04,0.07,0.24,2,24,4,500
0.04,0.12,0.52,2,24,8,500
0.04,0.22,0.86,2,24,16,500
0.05,0.18,1.0,2,24,32,500
0.05,0.68,0.99,2,24,64,500
0.05,0.03,0.05,2,36,1,500
0.06,0.03,0.07,2,36,2,500
0.07,0.06,0.16,2,36,4,500
0.08,0.09,0.39,2,36,8,500
0.14,0.28,0.79,2,36,16,500
0.17,0.44,1.0,2,36,32,500
0.17,0.66,1.0,2,36,64,500
0.01,0.17,0.02,3,12,1,500
0.01,0.18,0.08,3,12,2,500
0.02,0.17,0.21,3,12,4,500
0.02,0.17,0.6,3,12,8,500
0.06,0.2,0.96,3,12,16,500
0.07,0.39,1.0,3,12,32,500
0.07,0.78,1.0,3,12,64,500
0.06,0.03,0.0,3,24,1,500
0.08,0.04,0.0,3,24,2,500
0.11,0.06,0.09,3,24,4,500
0.23,0.07,0.41,3,24,8,500
0.42,0.08,0.92,3,24,16,500
0.53,0.17,1.0,3,24,32,500
0.53,0.65,1.0,3,24,64,500
0.02,0.13,0.01,3,36,1,500
0.02,0.16,0.03,3,36,2,500
0.02,0.26,0.15,3,36,4,500
0.03,0.4,0.47,3,36,8,500
0.04,0.74,0.92,3,36,16,500
0.04,0.96,1.0,3,36,32,500
0.04,1.0,1.0,3,36,64,500
0.02,0.07,0.02,4,12,1,500
0.03,0.1,0.05,4,12,2,500
0.06,0.14,0.22,4,12,4,500
0.19,0.13,0.71,4,12,8,500
0.48,0.17,1.0,4,12,16,500
0.65,0.31,1.0,4,12,32,500
0.65,0.56,1.0,4,12,64,500
0.05,0.08,0.03,4,24,1,500
0.07,0.06,0.07,4,24,2,500
0.1,0.07,0.24,4,24,4,500
0.16,0.16,0.79,4,24,8,500
0.22,0.13,1.0,4,24,16,500
0.32,0.13,1.0,4,24,32,500
0.32,0.36,1.0,4,24,64,500
0.06,0.06,0.03,4,36,1,500
0.06,0.08,0.06,4,36,2,500
0.12,0.13,0.23,4,36,4,500
0.19,0.27,0.73,4,36,8,500
0.29,0.54,1.0,4,36,16,500
0.35,0.94,1.0,4,36,32,500
0.35,1.0,1.0,4,36,64,500
0.03,0.02,0.04,2,12,1,1000
0.03,0.01,0.09,2,12,2,1000
0.03,0.01,0.19,2,12,4,1000
0.04,0.0,0.48,2,12,8,1000
