Metadata_pert_name,mAP,p_value,corrected_p_value,below_p,p < 0.05,-log10(mAP p-value),Cell type,markers,const,control_barcodes,Metadata_gene_name
AKT1-1,0.09111718453826305,0.0922907709229077,0.1510143103336725,False,False,0.8209818963858209,A549,p>=0.05,1.0,cutting_control,AKT1
AKT1-2,0.07761333845138896,0.12168783121687832,0.16444301515794368,False,False,0.7839845687777738,A549,p>=0.05,1.0,cutting_control,AKT1
ARID1B-1,0.07417042155716784,0.131986801319868,0.16921384784598462,False,False,0.7715640987614932,A549,p>=0.05,1.0,cutting_control,ARID1B
ARID1B-2,0.06549617822178133,0.16518348165183483,0.2001004718805228,False,False,0.6987518872015421,A549,p>=0.05,1.0,cutting_control,ARID1B
ATF4-1,0.6580494723141782,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05,1.0,cutting_control,ATF4
ATF4-2,0.7603330220977279,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05,1.0,cutting_control,ATF4
ATP50-1,0.15027229031962516,0.034996500349965,0.0853573179267439,True,False,1.0687592396463226,A549,p<0.05,1.0,cutting_control,ATP50
ATP50-2,0.2076679501200944,0.0282971702829717,0.0786032507860325,True,False,1.1045594925198596,A549,p<0.05,1.0,cutting_control,ATP50
AURKB-2,0.036484019264323764,0.46715328467153283,0.46715328467153283,False,False,0.3305405931725196,A549,p>=0.05,1.0,cutting_control,AURKB
BCL2-1,0.04832225106393403,0.28717128287171284,0.3087863256685084,False,False,0.5103419402605351,A549,p>=0.05,1.0,cutting_control,BCL2
BCL2-2,0.14592914226392661,0.0374962503749625,0.08720058226735465,True,False,1.0594806151287304,A549,p<0.05,1.0,cutting_control,BCL2
BCL2L2-1,0.04708518076783761,0.2996700329967003,0.3187979074432982,False,False,0.4964845379309166,A549,p>=0.05,1.0,cutting_control,BCL2L2
BCL2L2-2,0.0518553495028251,0.25247475252474755,0.28367949721881747,False,False,0.5471720514670952,A549,p>=0.05,1.0,cutting_control,BCL2L2
BCL2L2-4,0.09881136592897895,0.0795920407959204,0.13963515929108844,False,False,0.855005215211685,A549,p>=0.05,1.0,cutting_control,BCL2L2
