Metadata_pert_name,mode,Preprocessing,Cell type,mAP,p_value,p < 0.05,markers,-log10(mAP p-value)
AKT1-1,"different plate, different well",MAD robustize,A549,0.06807682898730134,0.1245771930425359,False,p>=0.05,0.9045614588196494
AKT1-1,"different plate, different well",MAD robustize,ES2,0.027551506491747216,0.38316405678932736,False,p>=0.05,0.41661523725056404
AKT1-1,"different plate, different well",MAD robustize,HCC44,0.024471231502131874,0.2010206126588518,False,p>=0.05,0.6967594077286967
AKT1-1,"different plate, different well",Standardize,A549,0.04418906650580371,0.2745870743021962,False,p>=0.05,0.561319910257869
AKT1-1,"different plate, different well",Standardize,ES2,0.014027013746579059,0.6047340772686347,False,p>=0.05,0.2184355578489375
AKT1-1,"different plate, different well",Standardize,HCC44,0.01617754596273551,0.4932493755592944,False,p>=0.05,0.3069334558807877
AKT1-1,"different plate, same well",MAD robustize,A549,0.1230509826468504,0.02634591807302294,True,p<0.05,1.5792866630201814
AKT1-1,"different plate, same well",MAD robustize,ES2,0.13370756164873812,0.005041319113147003,True,p<0.05,2.2974558110537275
AKT1-1,"different plate, same well",MAD robustize,HCC44,0.6568181818181819,6.459118200569214e-06,True,p<0.05,5.189826767882107
AKT1-1,"different plate, same well",Standardize,A549,0.021380334076489874,0.3440530962341021,False,p>=0.05,0.463374529457366
AKT1-1,"different plate, same well",Standardize,ES2,0.038064609755786225,0.07384927159306616,False,p>=0.05,1.1316537839630278
AKT1-1,"different plate, same well",Standardize,HCC44,0.15603250915750913,0.0016522104308908552,True,p<0.05,2.7819346403360514
AKT1-1,"same plate, different well",MAD robustize,A549,0.03964419475709791,0.12800239591722784,False,p>=0.05,0.8927819012592186
AKT1-1,"same plate, different well",MAD robustize,ES2,0.019361541608799666,0.4795311215462168,False,p>=0.05,0.31918320188812543
AKT1-1,"same plate, different well",MAD robustize,HCC44,0.0171586599060151,0.4138015758578917,False,p>=0.05,0.38320785976723093
AKT1-1,"same plate, different well",Standardize,A549,0.020860201154916682,0.3238910333213044,False,p>=0.05,0.4896010749382074
AKT1-1,"same plate, different well",Standardize,ES2,0.021028995946321193,0.38605524126764323,False,p>=0.05,0.4133505469832319
AKT1-1,"same plate, different well",Standardize,HCC44,0.013817395417688247,0.6248053363813038,False,p>=0.05,0.20425526986209966
AKT1-2,"different plate, different well",MAD robustize,A549,0.015662462254084727,0.6096554704353543,False,p>=0.05,0.21491552492305857
AKT1-2,"different plate, different well",MAD robustize,ES2,0.031730043375944296,0.17772773189251412,False,p>=0.05,0.7502448014112995
AKT1-2,"different plate, different well",MAD robustize,HCC44,0.020940380485542125,0.4411994703903117,False,p>=0.05,0.35536501755257055
AKT1-2,"different plate, different well",Standardize,A549,0.010851147601391218,0.8503872161222477,False,p>=0.05,0.07038327718807144
AKT1-2,"different plate, different well",Standardize,ES2,0.017089884271939273,0.4892557511365781,False,p>=0.05,0.3104640605658212
AKT1-2,"different plate, different well",Standardize,HCC44,0.013190309040408577,0.704733806213822,False,p>=0.05,0.15197489481468618
AKT1-2,"different plate, same well",MAD robustize,A549,0.14170005400534197,0.002096607569435815,True,p<0.05,2.6784828505921854
AKT1-2,"different plate, same well",MAD robustize,ES2,0.07245308510306682,0.06592593899393583,False,p>=0.05,1.1809436757631109
AKT1-2,"different plate, same well",MAD robustize,HCC44,0.2670716454771585,0.0010014687184562519,True,p<0.05,2.9993626116365135
AKT1-2,"different plate, same well",Standardize,A549,0.07549320557118436,0.022915044950818707,True,p<0.05,1.6398792864936709
AKT1-2,"different plate, same well",Standardize,ES2,0.022014427821707958,0.42530477900221275,False,p>=0.05,0.3712997372421743
AKT1-2,"different plate, same well",Standardize,HCC44,0.09735454711336318,0.029275611775150017,True,p<0.05,1.5334940206690675
AKT1-2,"same plate, different well",MAD robustize,A549,0.01044641358240609,0.8826081631121003,False,p>=0.05,0.05423206014494931
AKT1-2,"same plate, different well",MAD robustize,ES2,0.030418806110549052,0.1316892275756743,False,p>=0.05,0.8804497496835257
AKT1-2,"same plate, different well",MAD robustize,HCC44,0.016464391505208526,0.4789719079085697,False,p>=0.05,0.31968995756260443
