Mitocheck_Phenotypic_Class,Metadata_is_control,Cell_UUID,Location_Center_X,Location_Center_Y,Metadata_Plate,Metadata_Well,Metadata_Frame,Metadata_Site,Metadata_Plate_Map_Name,Metadata_DNA,Metadata_Gene,Metadata_Gene_Replicate,Metadata_control_index,n_pos_pairs,n_total_pairs,average_precision,p_value,p < 0.05,-log10(AP p-value),Features
Large,0,3ba3aae1-489a-4eae-87f5-f3c31c9c91e9,397,618,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,-1,23,3923,0.056705683441003754,0.00029997,True,3.5229223,cp
Large,0,c16d0e78-70db-49ff-bc48-027342fe00da,359,584,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,-1,23,3923,0.010954107803373614,0.09719028,False,1.0123771,cp
Large,0,4a6e4da9-941d-4a6c-968e-cb1932839313,383,685,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,-1,23,3923,0.027371617078432744,0.01159884,True,1.9355854,cp
Large,0,bd03dd73-f4fb-4a25-93ce-1720e55de69b,932,532,LT0013_38,42,75,1,LT0013_38_42,LT0013_38/LT0013_38_42_75.tif,KIF14,1,-1,53,3953,0.07293967079731875,9.999e-05,True,4.0000434,cp
Large,0,9721f66a-6a76-4a22-a257-e021a5da9e01,479,110,LT0013_38,42,75,1,LT0013_38_42,LT0013_38/LT0013_38_42_75.tif,KIF14,1,-1,53,3953,0.06307248332306921,9.999e-05,True,4.0000434,cp
Large,0,b3846115-1300-4bb1-8988-e494ef1fb363,465,822,LT0013_38,42,95,1,LT0013_38_42,LT0013_38/LT0013_38_42_95.tif,KIF14,1,-1,53,3953,0.013783514732156039,0.6289371,False,0.20139277,cp
Large,0,1ec2c77b-6ac1-4815-9e42-bdae95be8c8a,851,92,LT0013_38,42,95,1,LT0013_38_42,LT0013_38/LT0013_38_42_95.tif,KIF14,1,-1,53,3953,0.012617248695225977,0.8356164,False,0.07799304,cp
Large,0,8d6a0d3d-a257-4959-a4be-1245f72db909,1087,30,LT0013_38,42,95,1,LT0013_38_42,LT0013_38/LT0013_38_42_95.tif,KIF14,1,-1,53,3953,0.04952246759887436,0.00059994,True,3.221892,cp
Large,0,1d3c1e7f-69a8-445e-9b56-bf26884f8864,91,888,LT0017_19,365,65,1,LT0017_19_365,LT0017_19/LT0017_19_365_65.tif,KIF20A,1,-1,20,3920,0.021932388639187225,0.01689831,True,1.7721567,cp
Large,0,8d20b536-1f37-4c9d-9ecc-32cc87dc7195,326,375,LT0019_06,140,70,1,LT0019_06_140,LT0019_06/LT0019_06_140_70.tif,DDOST,1,-1,42,3942,0.007874186578700008,0.9990001,False,0.00043448026,cp
Large,0,17e71613-b566-4669-a54b-d06552381cf0,714,637,LT0027_44,292,88,1,LT0027_44_292,LT0027_44/LT0027_44_292_88.tif,CDK4,1,-1,53,3953,0.09059945080744723,9.999e-05,True,4.0000434,cp
Large,0,df1fcc6d-c25a-4b18-a9b4-0a6301bffaf8,344,420,LT0027_44,292,95,1,LT0027_44_292,LT0027_44/LT0027_44_292_95.tif,CDK4,1,-1,53,3953,0.1622729345845445,9.999e-05,True,4.0000434,cp
Large,0,ff6fa233-b1bf-4b8a-b5b1-c568ecffb9d1,859,630,LT0038_27,250,8,1,LT0038_27_250,LT0038_27/LT0038_27_250_8.tif,BUB1B,1,-1,30,3930,0.011359294058857928,0.15688431,False,0.8044205,cp
Large,0,61bc9226-fa82-4123-be18-0e92ab5ef75c,674,421,LT0042_10,144,36,1,LT0042_10_144,LT0042_10/LT0042_10_144_36.tif,POLG,1,-1,27,3927,0.0781847476130625,9.999e-05,True,4.0000434,cp
Large,0,1e31ed50-bf07-469d-99e1-17b67a3f0cd9,665,416,LT0042_10,144,50,1,LT0042_10_144,LT0042_10/LT0042_10_144_50.tif,POLG,1,-1,27,3927,0.07984828205067,9.999e-05,True,4.0000434,cp
Large,0,878d7e1a-8c5a-4255-b0de-46f10d3f3daa,105,562,LT0042_10,144,50,1,LT0042_10_144,LT0042_10/LT0042_10_144_50.tif,POLG,1,-1,27,3927,0.019139791662658025,0.02769723,True,1.5575637,cp
